experiment_family,experiment_name,model_type,input_type,n_input_features,mean_features_used,cv_accuracy_mean,cv_accuracy_std,cv_roc_auc_mean,cv_roc_auc_std,pooled_accuracy,pooled_roc_auc,tn,fp,fn,tp
feature_table_logistic,statistical_surface_unpruned_logistic,logistic_regression,statistical_surface,53,53.0,0.7979591836734693,0.0697493579034724,0.847894265232975,0.0570045653374362,0.7983870967741935,0.8420534458509141,133,25,25,65
temporal_channel_experiment,temporal_4ch_mean_std_mean_delta_std_delta_temporal_cnn,temporal_cnn,temporal_4ch_mean_std_mean_delta_std_delta,80,80.0,0.7497959183673469,0.0324406355592059,0.841733870967742,0.035506294484859,0.75,0.819549929676512,127,31,31,59
temporal_channel_experiment,temporal_5ch_mean_std_deltas_cumulative_temporal_cnn,temporal_cnn,temporal_5ch_mean_std_deltas_cumulative,100,100.0,0.7582857142857142,0.0411763711897554,0.8137208781362008,0.077481777477789,0.7580645161290323,0.810056258790436,129,29,31,59
temporal_channel_experiment,temporal_2ch_mean_std_flat_logistic,flat_logistic,temporal_2ch_mean_std,40,40.0,0.7538775510204081,0.0467075047904342,0.8039538530465948,0.0483445179090201,0.7540322580645161,0.8034458509142054,123,35,26,64
feature_table_logistic,combined_unpruned_logistic,logistic_regression,combined_statistical_physics,144,144.0,0.7212244897959184,0.0837421321063216,0.800100806451613,0.0560645333665476,0.7217741935483871,0.7919127988748242,118,40,29,61
feature_table_logistic,physics_informed_unpruned_logistic,logistic_regression,physics_informed_recovery,91,91.0,0.7417959183673469,0.0443656759537387,0.7955645161290322,0.0527152400371444,0.7419354838709677,0.7855836849507736,122,36,28,62
feature_table_logistic,physics_informed_corr090_pruned_logistic,logistic_regression,physics_informed_recovery,91,59.4,0.753795918367347,0.049340000525048,0.790725806451613,0.0568801168990836,0.7540322580645161,0.7838959212376934,125,33,28,62
feature_table_logistic,combined_corr090_pruned_logistic,logistic_regression,combined_statistical_physics,144,63.8,0.7495510204081633,0.063701328285388,0.7856854838709678,0.0601264323608124,0.75,0.7824894514767932,125,33,29,61
temporal_channel_experiment,temporal_3ch_mean_std_mean_delta_flat_logistic,flat_logistic,temporal_3ch_mean_std_mean_delta,60,60.0,0.7256326530612245,0.0428847335871848,0.7641353046594981,0.0390752261967684,0.7258064516129032,0.7625175808720113,120,38,30,60
temporal_channel_experiment,temporal_5ch_mean_std_deltas_cumulative_flat_logistic,flat_logistic,temporal_5ch_mean_std_deltas_cumulative,100,100.0,0.7174693877551019,0.031683829570091,0.757258064516129,0.044430728647965,0.717741935483871,0.7593530239099859,119,39,31,59
temporal_channel_experiment,temporal_4ch_mean_std_mean_delta_std_delta_flat_logistic,flat_logistic,temporal_4ch_mean_std_mean_delta_std_delta,80,80.0,0.7175510204081632,0.0231018244743602,0.7572356630824373,0.0452967811769126,0.717741935483871,0.759142053445851,119,39,31,59
temporal_channel_experiment,temporal_2ch_mean_std_temporal_cnn,temporal_cnn,temporal_2ch_mean_std,40,40.0,0.6892244897959184,0.0805507903183324,0.7470206093189964,0.071791389780084,0.6895161290322581,0.7552742616033755,105,53,24,66
feature_table_logistic,statistical_surface_corr090_pruned_logistic,logistic_regression,statistical_surface,53,5.0,0.6686530612244898,0.1078387121510669,0.7272961469534049,0.1006352276928746,0.6693548387096774,0.7109704641350212,105,53,29,61
temporal_channel_experiment,temporal_3ch_mean_std_mean_delta_temporal_cnn,temporal_cnn,temporal_3ch_mean_std_mean_delta,60,60.0,0.6451428571428572,0.0736345083254212,0.6888104838709678,0.0923506541623402,0.6451612903225806,0.6821378340365682,111,47,41,49
