experiment_name,feature_group_name,fold,prune_correlated,corr_threshold,n_original_features,n_selected_features,runtime_seconds,accuracy,balanced_accuracy,roc_auc,precision_sick,recall_sick,sensitivity_sick,specificity_healthy,f1_sick,tn,fp,fn,tp
statistical_surface_unpruned_logistic,statistical_surface,1,False,,53,53,0.01793074607849121,0.84,0.8142361111111112,0.8836805555555556,0.8125,0.7222222222222222,0.7222222222222222,0.90625,0.7647058823529411,29,3,5,13
statistical_surface_unpruned_logistic,statistical_surface,2,False,,53,53,0.019414186477661133,0.76,0.7274305555555556,0.8194444444444444,0.6875,0.6111111111111112,0.6111111111111112,0.84375,0.6470588235294118,27,5,7,11
statistical_surface_unpruned_logistic,statistical_surface,3,False,,53,53,0.0157620906829834,0.9,0.8854166666666667,0.9288194444444444,0.8823529411764706,0.8333333333333334,0.8333333333333334,0.9375,0.8571428571428571,30,2,3,15
statistical_surface_unpruned_logistic,statistical_surface,4,False,,53,53,0.015714645385742188,0.7346938775510204,0.7320788530465949,0.8189964157706093,0.6190476190476191,0.7222222222222222,0.7222222222222222,0.7419354838709677,0.6666666666666666,23,8,5,13
statistical_surface_unpruned_logistic,statistical_surface,5,False,,53,53,0.016999006271362305,0.7551020408163265,0.7482078853046594,0.7885304659498208,0.65,0.7222222222222222,0.7222222222222222,0.7741935483870968,0.6842105263157895,24,7,5,13
physics_informed_unpruned_logistic,physics_informed_recovery,1,False,,91,91,0.018407106399536133,0.82,0.8229166666666667,0.8645833333333333,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8125,0.7692307692307693,26,6,3,15
physics_informed_unpruned_logistic,physics_informed_recovery,2,False,,91,91,0.018610477447509766,0.72,0.671875,0.814236111111111,0.6428571428571429,0.5,0.5,0.84375,0.5625,27,5,9,9
physics_informed_unpruned_logistic,physics_informed_recovery,3,False,,91,91,0.017428159713745117,0.72,0.6961805555555556,0.7864583333333333,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.78125,0.6111111111111112,25,7,7,11
physics_informed_unpruned_logistic,physics_informed_recovery,4,False,,91,91,0.017664194107055664,0.7346938775510204,0.7320788530465949,0.7186379928315413,0.6190476190476191,0.7222222222222222,0.7222222222222222,0.7419354838709677,0.6666666666666666,23,8,5,13
physics_informed_unpruned_logistic,physics_informed_recovery,5,False,,91,91,0.01982402801513672,0.7142857142857143,0.7275985663082437,0.7939068100358424,0.5833333333333334,0.7777777777777778,0.7777777777777778,0.6774193548387096,0.6666666666666666,21,10,4,14
combined_unpruned_logistic,combined_statistical_physics,1,False,,144,144,0.023518085479736328,0.82,0.8229166666666667,0.8923611111111112,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8125,0.7692307692307693,26,6,3,15
combined_unpruned_logistic,combined_statistical_physics,2,False,,144,144,0.02156686782836914,0.76,0.7395833333333333,0.7812499999999999,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8125,0.6666666666666666,26,6,6,12
combined_unpruned_logistic,combined_statistical_physics,3,False,,144,144,0.02137279510498047,0.72,0.6961805555555556,0.8107638888888888,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.78125,0.6111111111111112,25,7,7,11
combined_unpruned_logistic,combined_statistical_physics,4,False,,144,144,0.022467851638793945,0.7142857142857143,0.7159498207885304,0.7526881720430108,0.5909090909090909,0.7222222222222222,0.7222222222222222,0.7096774193548387,0.65,22,9,5,13
combined_unpruned_logistic,combined_statistical_physics,5,False,,144,144,0.02300572395324707,0.5918367346938775,0.5842293906810037,0.7634408602150538,0.45454545454545453,0.5555555555555556,0.5555555555555556,0.6129032258064516,0.5,19,12,8,10
statistical_surface_corr090_pruned_logistic,statistical_surface,1,True,0.9,53,5,1.220808744430542,0.84,0.8506944444444444,0.8888888888888888,0.7272727272727273,0.8888888888888888,0.8888888888888888,0.8125,0.8,26,6,2,16
statistical_surface_corr090_pruned_logistic,statistical_surface,2,True,0.9,53,5,1.298814296722412,0.7,0.6805555555555556,0.6753472222222222,0.5789473684210527,0.6111111111111112,0.6111111111111112,0.75,0.5945945945945946,24,8,7,11
statistical_surface_corr090_pruned_logistic,statistical_surface,3,True,0.9,53,5,0.9771449565887451,0.64,0.6579861111111112,0.7604166666666667,0.5,0.7222222222222222,0.7222222222222222,0.59375,0.5909090909090909,19,13,5,13
statistical_surface_corr090_pruned_logistic,statistical_surface,4,True,0.9,53,5,0.9843108654022217,0.5918367346938775,0.5958781362007168,0.6415770609318996,0.4583333333333333,0.6111111111111112,0.6111111111111112,0.5806451612903226,0.5238095238095238,18,13,7,11
statistical_surface_corr090_pruned_logistic,statistical_surface,5,True,0.9,53,5,0.9522402286529541,0.5714285714285714,0.5681003584229392,0.6702508960573477,0.43478260869565216,0.5555555555555556,0.5555555555555556,0.5806451612903226,0.4878048780487805,18,13,8,10
physics_informed_corr090_pruned_logistic,physics_informed_recovery,1,True,0.9,91,59,1.0475752353668213,0.84,0.8385416666666667,0.8819444444444444,0.75,0.8333333333333334,0.8333333333333334,0.84375,0.7894736842105263,27,5,3,15
