experiment_name,model_type,channel_set_name,channel_names,n_channels,n_temporal_features,fold,runtime_seconds,best_epoch,best_val_loss,epochs_trained,accuracy,balanced_accuracy,roc_auc,precision_sick,recall_sick,sensitivity_sick,specificity_healthy,f1_sick,tn,fp,fn,tp
temporal_2ch_mean_std_flat_logistic,flat_logistic,temporal_2ch_mean_std,frame_mean|frame_std,2,40,1,0.017964839935302734,,,,0.8,0.7951388888888888,0.8350694444444444,0.7,0.7777777777777778,0.7777777777777778,0.8125,0.7368421052631579,26,6,4,14
temporal_2ch_mean_std_flat_logistic,flat_logistic,temporal_2ch_mean_std,frame_mean|frame_std,2,40,2,0.01148533821105957,,,,0.7,0.6805555555555556,0.7430555555555556,0.5789473684210527,0.6111111111111112,0.6111111111111112,0.75,0.5945945945945946,24,8,7,11
temporal_2ch_mean_std_flat_logistic,flat_logistic,temporal_2ch_mean_std,frame_mean|frame_std,2,40,3,0.011310815811157227,,,,0.8,0.7708333333333333,0.8645833333333333,0.75,0.6666666666666666,0.6666666666666666,0.875,0.7058823529411765,28,4,6,12
temporal_2ch_mean_std_flat_logistic,flat_logistic,temporal_2ch_mean_std,frame_mean|frame_std,2,40,4,0.011221647262573242,,,,0.7142857142857143,0.7159498207885304,0.8046594982078853,0.5909090909090909,0.7222222222222222,0.7222222222222222,0.7096774193548387,0.65,22,9,5,13
temporal_2ch_mean_std_flat_logistic,flat_logistic,temporal_2ch_mean_std,frame_mean|frame_std,2,40,5,0.011260509490966797,,,,0.7551020408163265,0.7598566308243728,0.7724014336917563,0.6363636363636364,0.7777777777777778,0.7777777777777778,0.7419354838709677,0.7,23,8,4,14
temporal_2ch_mean_std_temporal_cnn,temporal_cnn,temporal_2ch_mean_std,frame_mean|frame_std,2,40,1,8.657432079315186,102.0,0.6110468506813049,127.0,0.76,0.7760416666666667,0.8159722222222221,0.625,0.8333333333333334,0.8333333333333334,0.71875,0.7142857142857143,23,9,3,15
temporal_2ch_mean_std_temporal_cnn,temporal_cnn,temporal_2ch_mean_std,frame_mean|frame_std,2,40,2,1.5842890739440918,53.0,0.6707755923271179,78.0,0.74,0.7482638888888888,0.7899305555555556,0.6086956521739131,0.7777777777777778,0.7777777777777778,0.71875,0.6829268292682927,23,9,4,14
temporal_2ch_mean_std_temporal_cnn,temporal_cnn,temporal_2ch_mean_std,frame_mean|frame_std,2,40,3,2.9552061557769775,103.0,0.6803888082504272,128.0,0.64,0.6336805555555556,0.717013888888889,0.5,0.6111111111111112,0.6111111111111112,0.65625,0.55,21,11,7,11
temporal_2ch_mean_std_temporal_cnn,temporal_cnn,temporal_2ch_mean_std,frame_mean|frame_std,2,40,4,0.7512812614440918,5.0,0.8695441484451294,30.0,0.5714285714285714,0.6030465949820789,0.6362007168458782,0.4482758620689655,0.7222222222222222,0.7222222222222222,0.4838709677419355,0.5531914893617021,15,16,5,13
temporal_2ch_mean_std_temporal_cnn,temporal_cnn,temporal_2ch_mean_std,frame_mean|frame_std,2,40,5,3.9486992359161377,123.0,0.46786031126976013,148.0,0.7346938775510204,0.7320788530465949,0.7759856630824373,0.6190476190476191,0.7222222222222222,0.7222222222222222,0.7419354838709677,0.6666666666666666,23,8,5,13
temporal_3ch_mean_std_mean_delta_flat_logistic,flat_logistic,temporal_3ch_mean_std_mean_delta,frame_mean|frame_std|mean_delta,3,60,1,0.013849258422851562,,,,0.7,0.7048611111111112,0.7586805555555556,0.5652173913043478,0.7222222222222222,0.7222222222222222,0.6875,0.6341463414634146,22,10,5,13
temporal_3ch_mean_std_mean_delta_flat_logistic,flat_logistic,temporal_3ch_mean_std_mean_delta,frame_mean|frame_std|mean_delta,3,60,2,0.01253962516784668,,,,0.72,0.6961805555555556,0.7482638888888888,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.78125,0.6111111111111112,25,7,7,11
temporal_3ch_mean_std_mean_delta_flat_logistic,flat_logistic,temporal_3ch_mean_std_mean_delta,frame_mean|frame_std|mean_delta,3,60,3,0.012595653533935547,,,,0.8,0.7586805555555556,0.8298611111111109,0.7857142857142857,0.6111111111111112,0.6111111111111112,0.90625,0.6875,29,3,7,11
temporal_3ch_mean_std_mean_delta_flat_logistic,flat_logistic,temporal_3ch_mean_std_mean_delta,frame_mean|frame_std|mean_delta,3,60,4,0.013015508651733398,,,,0.7142857142857143,0.7043010752688172,0.7580645161290323,0.6,0.6666666666666666,0.6666666666666666,0.7419354838709677,0.631578947368421,23,8,6,12
temporal_3ch_mean_std_mean_delta_flat_logistic,flat_logistic,temporal_3ch_mean_std_mean_delta,frame_mean|frame_std|mean_delta,3,60,5,0.01278543472290039,,,,0.6938775510204082,0.6998207885304659,0.7258064516129032,0.5652173913043478,0.7222222222222222,0.7222222222222222,0.6774193548387096,0.6341463414634146,21,10,5,13
temporal_3ch_mean_std_mean_delta_temporal_cnn,temporal_cnn,temporal_3ch_mean_std_mean_delta,frame_mean|frame_std|mean_delta,3,60,1,2.066798448562622,78.0,0.784017026424408,103.0,0.7,0.7048611111111112,0.7447916666666667,0.5652173913043478,0.7222222222222222,0.7222222222222222,0.6875,0.6341463414634146,22,10,5,13
temporal_3ch_mean_std_mean_delta_temporal_cnn,temporal_cnn,temporal_3ch_mean_std_mean_delta,frame_mean|frame_std|mean_delta,3,60,2,0.9685583114624023,25.0,0.7541380524635315,50.0,0.56,0.5225694444444444,0.5486111111111112,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.65625,0.3888888888888889,21,11,11,7
temporal_3ch_mean_std_mean_delta_temporal_cnn,temporal_cnn,temporal_3ch_mean_std_mean_delta,frame_mean|frame_std|mean_delta,3,60,3,4.3474650382995605,176.0,0.4425833225250244,201.0,0.68,0.6649305555555556,0.7743055555555555,0.55,0.6111111111111112,0.6111111111111112,0.71875,0.5789473684210527,23,9,7,11
temporal_3ch_mean_std_mean_delta_temporal_cnn,temporal_cnn,temporal_3ch_mean_std_mean_delta,frame_mean|frame_std|mean_delta,3,60,4,0.8391826152801514,16.0,0.8549482226371765,41.0,0.7142857142857143,0.7043010752688172,0.7329749103942652,0.6,0.6666666666666666,0.6666666666666666,0.7419354838709677,0.631578947368421,23,8,6,12
